Number,Plant,Scientific,Perennial,EFT,Indoors,GermMin,Germ Max,Weeks Before LastFrost ,Transplant Outdoors,Companion To,Oppose,Companions,Benefits,Opponents,Harms,Together,Diameter (hole),Deep,Distance,Blooms,HarvMin,HarvMax,Comments,Pollination
17,Celery,Apium graveolens,B,E,yes,2,3,10,2-3 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava)-onions (leeks),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,6,100,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate. Needs insects
51,Chives,Allium tuberosum,P,E,yes,2,3,28-42,2 weeks after last frost,carrots- celery- grapes- peas- roses- tomatoes- cress- mint. Beets,beans- peas- asparagus- spinach,apples- berries- carrots- grapes- peas- roses- tomatoes- ,Improves growth and flavor of carrots. Grapes benefit from the ability to repel aphids,,,,8,,,Purple or white. ,75,90,,self-pollinate with bees.
23,Collard,Brassica oleracea acephala ,B,E,yes,1,2,10 weeks,6-8 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,Beets-Bush Beans-Celery-Chamomile-Cucumber-Dill-Garlic-Geranium-Hyssop-Marigolds-Mint-Nasturtiums-Onions-Potatoes-Rosemary-Rue-Sage-Tansy-Thyme.,Interdum malesuada fames dapibus velit  egestas,Grapes-Mexican marigolds-Pole Beans-Rue-Strawberries-Tomato,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,6,1,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate by genus and species. Needs bees or wind.
1,Corn,Zea Mays,A,E,no,2,2,14,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava)-potatoes,Interdum malesuada fames dapibus velit  egestas,tomatoes (beefsteak-cherry),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,3,4,100,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinate with wind.
16,Cucumber,Cucumis sativus,A,E,yes,1,2,0,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava-pole)-carrots-corn-lettuce-peas-radishes-sunflowers-onions (leeks),Interdum malesuada fames dapibus velit  egestas,potatoes,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,18,1,36 inches,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate. Needs insects
19,Garlic,Allium sativum,P,E,no,6,15,n/a,6-8 weeks before first frost,lorem ipsum,beans- peas,tomatoes (beefsteak-cherry),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,6,100,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinate with bees.
24,Kale,Brassica oleracea acephala ,P,E,yes,1,2,3-5 weeks,3-5 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,Artichokes Beets Celery Cucumber Lettuce Onion Peas Potatoes Radishes Spinach Kale also enjoys the company of many herbs such as: Garlic Basil Dill Chamomile Mint Rosemary Sage Thyme,Interdum malesuada fames dapibus velit  egestas,tomato strawberry,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,1,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate by genus and species. Needs bees or wind.
33,Leek,Allium ampeloprasum,B,E,yes,1,1,8-10 weeks,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,celery-lettuce-spinach-strawberries,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,4,1,1,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,Outbreeding. Cannot self-pollinate- must cross-pollinate.
15,Lettuce,Latuca sativa,A,E,yes,1,2,6-8,2 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava)-beets-carrots-corn-peas-peppers-potatoes-radishes-spinach-sunflowers-tomatoes (beefsteak-cherry),Chives and garlic control aphids.,broccoli,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,4,1,,Integer tempus,45,60,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinating
45,Onion (normal),Allium cepa,B,E,yes,1,2,6-8,2-3 inches tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,celery-lettuce-spinach-strawberries,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,4,1,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,Self-pollinate.
28,Pea,Pisum sativum,A,E,yes,1,2,6-8,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,carrots-corn-potatoes,Interdum malesuada fames dapibus velit  egestas,garlic-onions (leeks),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,2,1,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinating- No bees required- but they don't hurt
18,Pepper,Capsicum annum,P,E,yes,1,2,8-10,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,asparagus-beets-spinach-onions (leeks)-tomatoes (beefsteak-cherry)-zucchini,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,100,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinating- No bees required- but they don't hurt
29,Potato,Solanum tuberosum,P,E,no,2,4,2-4,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-onions (leeks)-peas,Interdum malesuada fames dapibus velit  egestas,garlic,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,100,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinate with bees.
5,Pumpkin,Cucurbita maxima,A,E,no,1,2,6-8,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-radishes,Interdum malesuada fames dapibus velit  egestas,potatoes,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,5,36,100,,Integer tempus,100,150,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate. Needs insects
4,Radish,Raphanus sativus,B,E,yes,1,2,4-6,4-6 weeks ,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava)-beets-peas-spinach-onions (leeks)-carrots(mix),Interdum malesuada fames dapibus velit  egestas,beans (green-fava),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,1,2,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate- self-pollinate
22,Raspberry,Rubus idaeobatus,P,E,yes,19,22,2-3,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,100,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate. Needs insects
10,Rosemary,Rosmarinus officinalis,P,E,yes,3,4,4-6 weeks ,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava-pole)-carrots-cabbage (red-green),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,18,100,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,self-pollinate with bees.
30,Spinach,Spinacia oleracea,A,E,no,1,2,4-6 weeks ,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,celery-zucchini-peppers-strawberries-onions (leeks),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,1,1,12 inches,Integer tempus,1,100,Plant again 6-8 weeks before first frost in the fall,self-pollinate with wind.
3,Squash,Cucurbita moschata,A,E,no,2,2,6,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-onions (leeks)-radishes-zucchini,Interdum malesuada fames dapibus velit  egestas,potatoes,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,2,36,100,,Integer tempus,90,120,Morbi in sodales lectus-- non venenatis.,cross-pollinate. Needs insects
25,Strawberry,Fragaria ananassa,P,E,yes,3,4,6,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,lettuce,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,14,100,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate- self-pollinate with bees or wind
12,Tomato (beefsteak-cherry),Solanum lycopersicum,P,E,yes,1,1,6-8,3-4 inches tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,asparagus-celery-onions (leeks)-peppers-radishes-spinach-zucchini,Interdum malesuada fames dapibus velit  egestas,corn-broccoli-potatoes-cabbage (red-green),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,18,100,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,self-pollinating- No bees required- but they don't hurt
31,Turnip,Brassica rapus rapifera ,B,E,no,1,1,2-3,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,peas,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,6,100,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,self-pollinate with bees.
13,Zucchini,Cucurbita pepo,A,E,no,1,2,2-4,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-lettuce,Interdum malesuada fames dapibus velit  egestas,potatoes,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,4,28,100,,Integer tempus,460,460,Morbi in sodales lectus-- non venenatis.,cross-pollinate. Needs insects
